id,VAR00001,sourceVM,age,agegroup,gender,momed,TOTALWORDS,TOTCOMPLEX,agegroup2,agegroup3,filter_$,VAR00018,id_merged,age_m,agegroup_m,gender_m,momed_m,TOTALWORDS_m,TOTCOMPLEX_m,agegroup2_m,agegroup3_m,Pronunc,Concep1,Concept2,Concept3,conceptsum,dinosaurio,grúa,herramienta,librero,licuadora,nido,tornillo,vidrio,dentista,mecánico,pintor,barba,cachete,manga,pulgar,pulmón,uña,calentura,estornudar,lastimar,quemadoa,sano,tragar,ciudad,cueva,hospital,torre,taller,cuadrado,domingo,repetir,salón,hierba,machete,paja,pétalos,plaga,raíz,tormenta,adivinar,aguantar,amanecer,atravesar,desaparecer,disparar,escavar,flotar,juntar,medir,mezclar,perder,perseguir,podar,rebanar,regar,regresar,repartir,salvar,separar,tallar,vender,apestoso_a,chistoso_a,emocionado_a,envidioso_a,feroz,flojo_a,hermoso_a,listo_a,maravilloso_a,nervioso_a,peligroso_a,raro_a,responsable,valiente,veloz,accidente,aventura,magia,verdad,vergüenza,además,aquel_aquella,bastante,cada,demasiado_a,igual,lado,mismo_a,nunca,pronto,siempre,tanto,temprano,contra,desde,hasta,sobre,nuestro,suyos_as,total,Pronunc11,Concept11,Concept21,Concept31,Uso11,Uso21,Uso31,Orac2,Orac3,orac4,orac5,orac8,orac9,orac10,orac12,orac15,orac19,orac25,orac26,orac27,orac28,orac29,complex_15,complex15_check
159,159,1,37,3,1,2,74, ,3,3,1,159, , , , , , , , , , , , , , ,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,74, , , , , , , , , , , , , , , , , , , , , , , ,
160,160,1,43,5,1,1,75, ,5,5,1,160, , , , , , , , , , , , , , ,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,75, , , , , , , , , , , , , , , , , , , , , , , ,
161,161,1,46,6,1,3,98, ,6,6,1,161, , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,98, , , , , , , , , , , , , , , , , , , , , , , ,
165,165,1,48,7,1,3,89, ,7,6,1,165, , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,89, , , , , , , , , , , , , , , , , , , , , , , ,
166,166,1,38,4,2,4,70, ,3,3,1,166, , , , , , , , , , , , , , ,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,70, , , , , , , , , , , , , , , , , , , , , , , ,
167,167,1,47,7,1,3,73, ,6,6,1,167, , , , , , , , , , , , , , ,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,73, , , , , , , , , , , , , , , , , , , , , , , ,
173,173,1,39,4,2,2,53, ,4,4,1,173, , , , , , , , , , , , , , ,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,53, , , , , , , , , , , , , , , , , , , , , , , ,
174,174,1,44,6,1,4,74, ,5,5,1,174, , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,74, , , , , , , , , , , , , , , , , , , , , , , ,
175,175,1,33,2,1,4,66, ,2,2,1,175, , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,66, , , , , , , , , , , , , , , , , , , , , , , ,
176,176,1,38,4,1,2,46, ,3,3,1,176, , , , , , , , , , , , , , ,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,46, , , , , , , , , , , , , , , , , , , , , , , ,
177,177,1,32,2,1,4,68, ,1,1,1,177, , , , , , , , , , , , , , ,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,68, , , , , , , , , , , , , , , , , , , , , , , ,
203,203,1,41,5,1,4,63, ,4,4,1,203, , , , , , , , , , , , , , ,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,63, , , , , , , , , , , , , , , , , , , , , , , ,
217,217,1,45,6,1,3,51, ,6,6,1,217, , , , , , , , , , , , , , ,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51, , , , , , , , , , , , , , , , , , , , , , , ,
318,318,1,44,6,2,2,74, ,5,5,1,318, , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,74, , , , , , , , , , , , , , , , , , , , , , , ,
320,320,1,43,5,1,2,76, ,5,5,1,320, , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,76, , , , , , , , , , , , , , , , , , , , , , , ,
321,321,1,46,6,2,2,88, ,6,6,1,321, , , , , , , , , , , , , , ,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,88, , , , , , , , , , , , , , , , , , , , , , , ,
354,354,1,37,3,2,4,62, ,3,3,1,354, , , , , , , , , , , , , , ,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,62, , , , , , , , , , , , , , , , , , , , , , , ,
355,355,1,32,2,1,2,71, ,1,1,1,355, , , , , , , , , , , , , , ,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,71, , , , , , , , , , , , , , , , , , , , , , , ,
361,361,1,48,7,1,2,60, ,7,6,1,361, , , , , , , , , , , , , , ,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,60, , , , , , , , , , , , , , , , , , , , , , , ,
